"Currency Name","Price","Change","Change %","Market Cap","Volume","Circulating Supply","Timestamp"
"Hedera USD","0.050711","-0.000963","-1.86%","1.909B","25.039M","37.653B","2024-10-13 13:14:25"
"VeChain USD","0.022431","-0.000436","-1.91%","1.817B","18.743M","80.985B","2024-10-13 13:14:25"
"Cosmos USD","4.3109","-0.0649","-1.48%","1.685B","59.453M","390.934M","2024-10-13 13:14:25"
"Sei USD","0.472128","-0.006853","-1.43%","1.664B","291.906M","3.525B","2024-10-13 13:14:25"
"THORChain USD","4.8083","-0.2856","-5.61%","1.62B","111.061M","337.006M","2024-10-13 13:14:25"
"The Graph USD","0.162241","-0.002939","-1.78%","1.549B","58.016M","9.549B","2024-10-13 13:14:26"
"Bonk USD","0.000021","-0.000001","-4.44%","1.518B","101.827M","71.379T","2024-10-13 13:14:26"
"Bitget Token USD","1.0799","-0.0038","-0.35%","1.512B","25.139M","1.4B","2024-10-13 13:14:26"
"Popcat (SOL) USD","1.4832","-0.0453","-2.96%","1.453B","89.395M","979.973M","2024-10-13 13:14:26"
"Rocket Pool ETH USD","2,757.86","+10.81","+0.39%","1.355B","1.061M","491,219","2024-10-13 13:14:26"
"pufETH USD","2,491.25","+26.53","+1.08%","1.332B","4.022M","534,815","2024-10-13 13:14:26"
"FLOKI USD","0.000137","-0.000004","-2.93%","1.316B","110.786M","9.597T","2024-10-13 13:14:26"
"Celestia USD","5.8896","+0.2908","+5.19%","1.279B","184.379M","217.098M","2024-10-13 13:14:26"
"Ethena Staked USDe USD","1.1037","+0.0001","+0.01%","1.274B","6.019M","1.154B","2024-10-13 13:14:26"
"Theta Network USD","1.2700","-0.0368","-2.82%","1.27B","12.887M","1B","2024-10-13 13:14:26"
"Arweave USD","19.02","-0.26","-1.35%","1.249B","34.065M","65.652M","2024-10-13 13:14:26"
"Fellaz USD","2.6239","-0.0070","-0.27%","1.238B","2.32M","471.875M","2024-10-13 13:14:26"
"MANTRA USD","1.4399","-0.1017","-6.60%","1.223B","18.801M","849.473M","2024-10-13 13:14:26"
"Mantle Staked Ether USD","2,571.19","+8.16","+0.32%","1.21B","9.84M","470,760","2024-10-13 13:14:26"
"Maker USD","1,344.27","-31.33","-2.28%","1.175B","92.119M","874,112","2024-10-13 13:14:26"
"Pyth Network USD","0.319249","-0.004999","-1.54%","1.157B","26.235M","3.625B","2024-10-13 13:14:26"
"Jupiter USD","0.795440","-0.008218","-1.02%","1.074B","46.514M","1.35B","2024-10-13 13:14:26"
"Zeebu USD","4.1392","+0.0240","+0.58%","1.072B","29.392M","258.971M","2024-10-13 13:14:26"
"Helium USD","6.2487","-0.5114","-7.57%","1.065B","13.894M","170.472M","2024-10-13 13:14:26"
"Worldcoin USD","2.0030","-0.0062","-0.31%","1.059B","230.988M","528.814M","2024-10-13 13:14:26"
"Wrapped Zedxion USD","0.259655","-0.000835","-0.32%","1.04B","10.35M","4.007B","2024-10-13 13:14:26"
"Algorand USD","0.121527","-0.001791","-1.45%","1.01B","15.321M","8.314B","2024-10-13 13:14:26"
"Brett (Based) USD","0.100388","+0.005537","+5.84%","994.865M","62.662M","9.91B","2024-10-13 13:14:26"
"Polygon USD","0.370139","-0.005181","-1.38%","992.618M","33.857M","2.682B","2024-10-13 13:14:27"
"KuCoin Token USD","8.0638","-0.1253","-1.53%","970.16M","514,967","120.31M","2024-10-13 13:14:27"
"Ondo USD","0.695724","-0.024914","-3.46%","966.889M","47.599M","1.39B","2024-10-13 13:14:27"
"Lido DAO USD","1.0491","-0.0345","-3.18%","939.253M","40.319M","895.281M","2024-10-13 13:14:27"
"Ethena USD","0.341577","+0.010811","+3.27%","938.27M","99.395M","2.747B","2024-10-13 13:14:27"
"JasmyCoin USD","0.018959","-0.000542","-2.78%","936.501M","31.674M","49.395B","2024-10-13 13:14:27"
"Wrapped BNB USD","573.04","-3.85","-0.67%","907.053M","93.556M","1.583M","2024-10-13 13:14:27"
"Bitcoin SV USD","45.21","-0.62","-1.36%","893.707M","22.88M","19.769M","2024-10-13 13:14:27"
"SPX6900 USD","0.949895","+0.142887","+17.71%","884.345M","74.267M","930.993M","2024-10-13 13:14:27"
"Aerodrome Finance USD","1.3489","+0.1006","+8.06%","879.279M","29.936M","651.841M","2024-10-13 13:14:27"
"BitTorrent(New) USD","0.00000091","-0.00000001","-1.39%","878.225M","12.868M","968.246T","2024-10-13 13:14:27"
"Venus BNB USD","14.02","-0.11","-0.77%","874.883M","875.257M","62.397M","2024-10-13 13:14:27"
"First Neiro On Ethereum USD","0.002061","-0.000017","-0.80%","866.81M","492.487M","420.668B","2024-10-13 13:14:27"
"Core USD","0.914246","-0.021560","-2.30%","836.368M","20.294M","914.816M","2024-10-13 13:14:27"
"Flow USD","0.543452","-0.007146","-1.30%","835.573M","14.039M","1.538B","2024-10-13 13:14:27"
"GateToken USD","9.1643","+0.0607","+0.67%","833.988M","2.975M","91.004M","2024-10-13 13:14:27"
"Starknet USD","0.422727","+0.005921","+1.42%","819.932M","48.428M","1.94B","2024-10-13 13:14:27"
"Wormhole USD","0.310598","-0.008281","-2.60%","800.681M","50.958M","2.578B","2024-10-13 13:14:27"
"Notcoin USD","0.007787","-0.000234","-2.91%","797.82M","74.354M","102.457B","2024-10-13 13:14:27"
"Quant USD","65.87","-1.33","-1.98%","795.192M","8.393M","12.073M","2024-10-13 13:14:27"
"Renzo Restaked ETH USD","2,515.82","+8.90","+0.35%","793.92M","2.166M","315,570","2024-10-13 13:14:27"
