"Currency Name","Price","Change","Change %","Market Cap","Volume","Circulating Supply","Timestamp"
"IMPT USD","0.003105","+0.000090","+2.98%","4.147M","689,293","1.336B","2024-10-13 13:16:24"
"Smilek to the Bank USD","0.00000211","-0.00000005","-2.44%","4.137M","27,342","1.959T","2024-10-13 13:16:24"
"Dynachain USD","0.392835","-0.012018","-2.97%","4.125M","312,616","10.5M","2024-10-13 13:16:24"
"Zynecoin USD","0.098035","+0.005863","+6.36%","4.108M","75,234","41.903M","2024-10-13 13:16:24"
"B-cube.ai USD","0.151305","+0.014691","+10.75%","4.099M","75,745","27.091M","2024-10-13 13:16:24"
"Cogito Finance USD","0.042180","-0.000599","-1.40%","4.083M","14,482","96.788M","2024-10-13 13:16:24"
"Shiryo USD","0.00000000","+0.00000000","+3.23%","4.081M","1,376","981,846.772T","2024-10-13 13:16:24"
"Astrafer USD","0.026059","-0.001706","-6.14%","4.076M","101","156.417M","2024-10-13 13:16:24"
"TON Bridged USDT USD","0.999411","-0.005608","-0.56%","4.074M","16,832","4.076M","2024-10-13 13:16:24"
"Bytecoin USD","0.000022","+0.000000","+0.87%","4.058M","179","184.067B","2024-10-13 13:16:24"
"Pesto the Baby King Penguin USD","0.004002","+0.000572","+16.69%","4.002M","2.977M","1B","2024-10-13 13:16:24"
"STAT USD","0.077914","-0.001903","-2.38%","4.006M","125,209","51.418M","2024-10-13 13:16:25"
"Chainbing USD","0.124734","+0.005460","+4.58%","4.116M","28,457","33M","2024-10-13 13:16:25"
"Bostrom USD","0.00000001","-0.00000000","-4.81%","3.993M","3,513","591.488T","2024-10-13 13:16:25"
"Circuits of Value USD","0.002229","+0.000192","+9.43%","3.978M","22,682","1.785B","2024-10-13 13:16:25"
"Aston Villa Fan Token USD","0.723538","+0.001744","+0.24%","3.966M","33,106","5.482M","2024-10-13 13:16:25"
"Vertcoin USD","0.056292","+0.000048","+0.09%","3.967M","11,430","70.467M","2024-10-13 13:16:25"
"Intentx USD","0.157126","-0.003126","-1.95%","3.964M","12,772","25.228M","2024-10-13 13:16:25"
"Dust Protocol USD","0.206034","+0.060410","+41.48%","3.944M","101,406","19.144M","2024-10-13 13:16:25"
"Everest USD","0.033833","-0.001796","-5.04%","3.948M","11,109","116.7M","2024-10-13 13:16:25"
"Civilization USD","0.013156","-0.000383","-2.83%","3.947M","12,877","300M","2024-10-13 13:16:25"
"CPUcoin USD","0.009093","+0.000018","+0.20%","3.942M","28,859","433.557M","2024-10-13 13:16:25"
"Pip USD","0.024232","-0.000597","-2.41%","3.934M","32,818","162.333M","2024-10-13 13:16:25"
"Cate USD","0.003920","-0.000370","-8.62%","3.92M","2.947M","1B","2024-10-13 13:16:25"
"EML Protocol USD","0.098662","-0.013712","-12.20%","3.921M","1.647M","39.745M","2024-10-13 13:16:25"
"Prisma mkUSD USD","0.991738","-0.000104","-0.01%","3.905M","76,966","3.938M","2024-10-13 13:16:25"
"BlackCardCoin USD","0.389917","-0.016338","-4.02%","3.899M","1.063M","10M","2024-10-13 13:16:25"
"Bepro USD","0.000390","+0.000012","+3.10%","3.898M","150,570","10B","2024-10-13 13:16:25"
"MagicCraft USD","0.000902","+0.000003","+0.31%","3.936M","36,295","4.364B","2024-10-13 13:16:25"
"Etherland USD","0.101766","+0.001268","+1.26%","3.936M","87,178","38.677M","2024-10-13 13:16:25"
"Pullix USD","0.058502","+0.002769","+4.97%","3.831M","362,996","65.483M","2024-10-13 13:16:25"
"Divi USD","0.000950","+0.000017","+1.85%","3.855M","139,505","4.057B","2024-10-13 13:16:25"
"PYRIN USD","0.010024","+0.000117","+1.18%","3.822M","79,724","381.268M","2024-10-13 13:16:25"
"Perion USD","0.285615","+0.015735","+5.83%","3.82M","50,784","13.375M","2024-10-13 13:16:25"
"ISKRA Token USD","0.027431","-0.000560","-2.00%","3.812M","10,820","138.984M","2024-10-13 13:16:25"
"DeFi Land USD","0.000534","-0.000002","-0.46%","3.81M","13,514","7.137B","2024-10-13 13:16:25"
"OpenOcean USD","0.007535","-0.000055","-0.72%","3.801M","175,709","504.426M","2024-10-13 13:16:25"
"Gari Network USD","0.007941","+0.000239","+3.10%","3.794M","534,435","477.696M","2024-10-13 13:16:25"
"Verse USD","0.000190","-0.000003","-1.80%","3.779M","10,386","19.864B","2024-10-13 13:16:25"
"Fusion USD","0.048900","+0.001000","+2.015100%","3.767M","33,803","77.073M","2024-10-13 13:16:37"
"RigoBlock USD","0.4249","-0.9861","-69.8882%","1.148M","50","2.701M","2024-10-13 13:16:37"
"Neighbourhoods USD","0.000500","-0.000000","-0.065400%","3.756M","43.428k","7.973B","2024-10-13 13:16:37"
"Joystick USD","0.003796","-0.000018","-0.47%","3.736M","120,929","984.15M","2024-10-13 13:16:37"
"SaitaChain Coin USD","0.000086","-0.000012","-12.04%","3.73M","11,433","43.401B","2024-10-13 13:16:37"
"GoChain USD","0.002906","-0.000095","-3.18%","3.729M","135","1.283B","2024-10-13 13:16:37"
"UX Chain USD","0.000936","+0.000024","+2.62%","3.729M","38,180","3.984B","2024-10-13 13:16:37"
"Dark Frontiers USD","0.021501","+0.000090","+0.42%","3.722M","96,016","173.11M","2024-10-13 13:16:37"
"Moneytoken USD","0.000326","-0.000002","-0.53%","3.706M","6","11.369B","2024-10-13 13:16:37"
"BRN Metaverse USD","0.142971","+0.002968","+2.12%","3.702M","347,041","25.892M","2024-10-13 13:16:37"
"VGX Token USD","0.010792","-0.000101","-0.93%","3.698M","1.417M","342.691M","2024-10-13 13:16:37"
"Everton Fan Token USD","0.886837","+0.004520","+0.51%","3.693M","198,229","4.164M","2024-10-13 13:16:37"
"OEC BTC USD","53,829.46","0.00","0.00%","3.663M","59","68","2024-10-13 13:16:37"
"The First Youtube Cat USD","0.003730","-0.000370","-9.02%","3.655M","247,984","979.915M","2024-10-13 13:16:37"
"GameSwift USD","0.057916","-0.002173","-3.62%","3.627M","185,095","62.622M","2024-10-13 13:16:37"
"Abelian USD","0.043870","-0.002897","-6.20%","3.609M","39,827","82.266M","2024-10-13 13:16:37"
"UnMarshal USD","0.064113","+0.000135","+0.21%","3.586M","353,964","55.934M","2024-10-13 13:16:37"
"CatDog USD","0.000036","-0.000002","-6.29%","3.572M","753,389","100B","2024-10-13 13:16:38"
"Rai Reflex Index USD","3.0272","-0.0322","-1.05%","3.578M","21,032","1.182M","2024-10-13 13:16:38"
"Medieval Empires USD","0.006378","+0.000239","+3.90%","3.568M","348,196","559.411M","2024-10-13 13:16:38"
"Lambda USD","0.002136","-0.000075","-3.40%","3.517M","1.114M","1.646B","2024-10-13 13:16:38"
"Milady Wif Hat USD","0.000014","-0.000000","-0.90%","3.526M","465,104","249.998B","2024-10-13 13:16:38"
"Honk USD","0.003766","+0.000140","+3.85%","3.464M","1.623M","919.819M","2024-10-13 13:16:38"
"Indigo Protocol USD","0.677498","+0.013026","+1.96%","3.486M","5,929","5.145M","2024-10-13 13:16:38"
"ritestream USD","0.011889","-0.000113","-0.94%","3.473M","155,839","292.142M","2024-10-13 13:16:38"
"Unibright USD","0.023143","+0.000196","+0.86%","3.471M","120","150M","2024-10-13 13:16:38"
"BlockGames USD","0.041495","-0.000215","-0.52%","3.462M","574,423","83.42M","2024-10-13 13:16:38"
"Napoli Fan Token USD","1.6211","+0.0036","+0.22%","3.451M","549,948","2.129M","2024-10-13 13:16:38"
"Laqira Protocol USD","0.042339","+0.011160","+35.79%","3.456M","251,398","81.624M","2024-10-13 13:16:38"
"dHedge DAO USD","0.064017","+0.000477","+0.75%","3.455M","5,783","53.967M","2024-10-13 13:16:38"
"EverRise USD","0.000054","+0.000000","+0.36%","3.446M","33,487","63.879B","2024-10-13 13:16:38"
"BLOCX. USD","0.061536","-0.001015","-1.62%","3.451M","265,814","56.08M","2024-10-13 13:16:38"
"Sakai Vault USD","1.6514","-0.0345","-2.05%","3.437M","891,048","2.081M","2024-10-13 13:16:38"
"Wrapped POKT USD","0.037815","+0.000675","+1.82%","3.428M","6,262","90.655M","2024-10-13 13:16:38"
"Rejuve.AI USD","0.013617","-0.000242","-1.74%","3.419M","565,770","251.082M","2024-10-13 13:16:38"
"Lossless USD","0.061278","-0.005204","-7.83%","3.405M","72,561","55.573M","2024-10-13 13:16:38"
"ShibaDoge USD","0.00000000","-0.00000000","-0.03%","3.399M","80,572","9,223,372.037T","2024-10-13 13:16:38"
"Vulcan Forged (LAVA) USD","0.013727","-0.000324","-2.30%","3.375M","204,011","245.895M","2024-10-13 13:16:38"
"Covalent USD","0.003922","+0.000076","+1.96%","3.358M","5,993","856.176M","2024-10-13 13:16:38"
"Gameswap USD","0.283063","+0.000310","+0.11%","3.353M","225","11.847M","2024-10-13 13:16:38"
"Konnect USD","0.001507","+0.000029","+1.96%","3.341M","129,551","2.217B","2024-10-13 13:16:38"
"Portugal National Team Fan Token USD","0.826424","-0.006216","-0.75%","3.323M","153,899","4.021M","2024-10-13 13:16:38"
"Djed USD","1.0101","+0.0016","+0.16%","3.327M","7,593","3.293M","2024-10-13 13:16:38"
"Edgevana Staked SOL USD","169.28","+1.33","+0.79%","3.331M","1,283","19,677","2024-10-13 13:16:38"
"IPVERSE USD","0.022116","+0.000018","+0.08%","3.317M","163","150.001M","2024-10-13 13:16:38"
"ShareToken USD","0.001399","+0.000094","+7.22%","3.315M","78,145","2.37B","2024-10-13 13:16:38"
"Mars USD","0.00000794","-0.00000087","-9.88%","3.341M","2.637M","420.69B","2024-10-13 13:16:38"
"BabyCate USD","0.00000490","-0.00000116","-19.10%","3.323M","667,378","678.37B","2024-10-13 13:16:38"
"King DAG USD","0.060070","+0.000002","+0.00%","3.271M","71","54.452M","2024-10-13 13:16:39"
"PRIZM USD","0.000801","+0.000073","+10.00%","3.265M","4,853","4.075B","2024-10-13 13:16:39"
"Wrapped Alvey Chain USD","0.010184","-0.000001","-0.00%","3.259M","98,295","320M","2024-10-13 13:16:39"
"Mancium USD","0.325863","-0.022711","-6.52%","3.259M","20","10M","2024-10-13 13:16:39"
"WeFi USD","0.077329","+0.000147","+0.19%","3.239M","61,667","41.883M","2024-10-13 13:16:39"
"GensoKishi Metaverse USD","0.008098","-0.000027","-0.33%","3.237M","734,296","399.738M","2024-10-13 13:16:39"
"Panda Swap USD","0.003999","-0.000220","-5.22%","3.231M","25,811","807.994M","2024-10-13 13:16:39"
"Ternoa USD","0.002498","-0.000034","-1.32%","3.216M","572,450","1.287B","2024-10-13 13:16:39"
"AGIX USD","0.051075","-0.001401","-2.67%","3.211M","15,922","62.877M","2024-10-13 13:16:39"
"TriumphX USD","0.000627","-0.000004","-0.57%","3.213M","11","5.122B","2024-10-13 13:16:39"
"Augur USD","0.291805","+0.001792","+0.62%","3.21M","80,647","11M","2024-10-13 13:16:39"
"BEFE USD","0.000034","-0.000002","-6.33%","3.208M","210,373","93.202B","2024-10-13 13:16:39"
"REV3AL USD","0.008734","-0.000738","-7.79%","3.196M","37,503","365.951M","2024-10-13 13:16:39"
"Omax Coin USD","0.000368","+0.000001","+0.18%","3.191M","272,170","8.668B","2024-10-13 13:16:39"
"RMRK USD","0.350465","-0.025567","-6.80%","3.186M","6,888","9.091M","2024-10-13 13:16:39"
"Anchor Protocol USD","0.009089","+0.000051","+0.57%","3.184M","8,130","350.382M","2024-10-13 13:16:39"
"Waves Enterprise USD","0.014122","+0.000607","+4.49%","3.177M","36,602","225M","2024-10-13 13:16:39"
"CumRocket USD","0.002411","-0.000040","-1.64%","3.184M","310,026","1.32B","2024-10-13 13:16:39"
"ADAMANT Messenger USD","0.028732","+0.000135","+0.47%","3.171M","386,510","110.371M","2024-10-13 13:16:39"
"Amulet USD","0.007104","-0.000208","-2.85%","3.139M","1.003M","441.931M","2024-10-13 13:16:39"
"Muse USD","6.1721","-0.1271","-2.02%","3.139M","371,290","508,554","2024-10-13 13:16:39"
"Bridge Oracle USD","0.000391","-0.000016","-4.04%","3.126M","4.264M","8.002B","2024-10-13 13:16:39"
"SUNCAT USD","0.003131","+0.000102","+3.37%","3.131M","2.23M","1B","2024-10-13 13:16:39"
"TENT USD","0.080477","+0.000064","+0.08%","3.112M","3,323","38.665M","2024-10-13 13:16:39"
"SunContract USD","0.041024","-0.000338","-0.82%","3.11M","214,375","75.81M","2024-10-13 13:16:39"
"ACA Token USD","0.059618","-0.000176","-0.29%","3.106M","129,030","52.096M","2024-10-13 13:16:39"
"DAD USD","0.004391","-0.000015","-0.35%","3.084M","10,884","702.5M","2024-10-13 13:16:39"
"ASTA USD","0.001464","-0.000000","-0.01%","3.075M","3","2.1B","2024-10-13 13:16:39"
"Prime Numbers Labs Ecosystem USD","0.755595","+0.028868","+3.97%","3.063M","51,949","4.054M","2024-10-13 13:16:40"
"Meta Monopoly USD","0.003059","+0.000216","+7.60%","3.059M","13,215","1B","2024-10-13 13:16:40"
"Footballcoin (XFC) USD","0.008150","+0.000014","+0.17%","3.053M","26,079","374.661M","2024-10-13 13:16:40"
"Roost Coin USD","0.003252","+0.000294","+9.95%","3.048M","66,559","937.144M","2024-10-13 13:16:40"
"Ferro USD","0.003263","-0.000032","-0.98%","3.043M","2,937","932.53M","2024-10-13 13:16:40"
"ABDS Token USD","0.989716","+0.000025","+0.00%","3.018M","404,814","3.05M","2024-10-13 13:16:40"
"UFC Fan Token USD","0.280132","0.000000","0.00%","3.014M","7,645","10.759M","2024-10-13 13:16:40"
"OrbCity USD","0.008691","-0.000276","-3.08%","3.006M","84,673","345.915M","2024-10-13 13:16:40"
"Phavercoin USD","0.002847","+0.000120","+4.38%","3.003M","788,894","1.055B","2024-10-13 13:16:40"
"Witch Token USD","0.108750","-0.008452","-7.21%","2.969M","11.78M","27.299M","2024-10-13 13:16:40"
"Minted USD","0.016046","-0.000160","-0.99%","2.972M","1,102","185.208M","2024-10-13 13:16:40"
"holoride USD","0.003461","+0.000017","+0.49%","2.969M","28,667","857.9M","2024-10-13 13:16:40"
"Vabble USD","0.003217","-0.000043","-1.32%","2.97M","1,921","923.305M","2024-10-13 13:16:40"
"Ispolink USD","0.001075","-0.000003","-0.27%","2.962M","343,102","2.756B","2024-10-13 13:16:40"
"Humanode USD","0.092808","-0.002424","-2.55%","2.961M","426,554","31.906M","2024-10-13 13:16:40"
"Presearch USD","0.007451","-0.000043","-0.58%","2.955M","18,193","396.578M","2024-10-13 13:16:40"
"NEST Protocol USD","0.000995","+0.000116","+13.24%","2.897M","410,657","2.912B","2024-10-13 13:16:40"
"Effect AI USD","0.011663","-0.000493","-4.05%","2.941M","4,008","252.169M","2024-10-13 13:16:40"
"VoluMint USD","0.005304","+0.000010","+0.19%","2.928M","230,167","552.136M","2024-10-13 13:16:40"
"Hamster USD","0.00000000","-0.00000000","-1.75%","2.909M","25,370","2,384.23T","2024-10-13 13:16:40"
"Geojam Token USD","0.000453","-0.000007","-1.57%","2.942M","51,654","6.497B","2024-10-13 13:16:40"
"Yawn's World USD","0.000380","+0.000006","+1.51%","2.905M","41,693","7.64B","2024-10-13 13:16:40"
"DOJO Protocol USD","0.005855","-0.000087","-1.46%","2.905M","547,925","496.116M","2024-10-13 13:16:40"
"Carbon Credit USD","0.170964","-0.000012","-0.01%","2.904M","20","16.989M","2024-10-13 13:16:40"
"Darwinia Network USD","0.001687","+0.000008","+0.46%","2.899M","8,699","1.718B","2024-10-13 13:16:40"
"Inspect USD","0.017881","+0.001240","+7.45%","2.877M","430,218","160.875M","2024-10-13 13:16:40"
"Coupon Assets USD","0.298743","+0.007391","+2.54%","2.889M","1.13M","9.671M","2024-10-13 13:16:40"
"SolCex USD","0.005788","+0.000171","+3.04%","2.894M","179,009","500M","2024-10-13 13:16:41"
"Orbofi AI USD","0.006913","-0.000314","-4.34%","2.862M","177,506","414M","2024-10-13 13:16:41"
"THENA USD","0.187487","-0.002812","-1.48%","2.867M","75,574","15.292M","2024-10-13 13:16:41"
"TOP AI Network USD","0.000200","+0.000001","+0.59%","2.878M","695,106","14.401B","2024-10-13 13:16:41"
"Catch a Jeet USD","0.259855","+0.021796","+9.16%","2.862M","64,151","11.015M","2024-10-13 13:16:41"
"Andy on SOL USD","0.003007","+0.000116","+4.00%","2.845M","154,578","946.22M","2024-10-13 13:16:41"
"Wownero USD","0.043005","-0.001802","-4.02%","2.844M","3,215","66.139M","2024-10-13 13:16:41"
"Klaydice USD","0.008299","+0.000201","+2.48%","2.84M","17,864","342.207M","2024-10-13 13:16:41"
"Decentral Games USD","0.012201","+0.000491","+4.19%","2.839M","24","232.699M","2024-10-13 13:16:41"
"PornRocket USD","0.00000001","-0.00000000","-2.74%","2.819M","19,315","383.29T","2024-10-13 13:16:41"
"VNX Euro USD","1.0990","+0.0009","+0.08%","2.799M","12,579","2.547M","2024-10-13 13:16:41"
"Carnomaly USD","0.001767","+0.000108","+6.54%","2.793M","92,544","1.58B","2024-10-13 13:16:41"
"Orbit Chain USD","0.004281","+0.000062","+1.46%","2.793M","109,973","652.413M","2024-10-13 13:16:41"
"Kylin USD","0.010225","+0.000014","+0.13%","2.763M","322,610","270.26M","2024-10-13 13:16:41"
"Red Kite USD","0.024075","-0.000151","-0.62%","2.761M","324","114.692M","2024-10-13 13:16:41"
"AXIS Token USD","0.008565","-0.000002","-0.02%","2.743M","222","320.303M","2024-10-13 13:16:41"
"Reboot USD","0.016845","+0.000218","+1.31%","2.733M","5,032","162.238M","2024-10-13 13:16:41"
"Wrapped Huobi Token USD","2.6693","+0.0156","+0.59%","2.724M","2,713","1.02M","2024-10-13 13:16:41"
"Okratech Token USD","0.003340","+0.000033","+1.00%","2.718M","158,537","813.609M","2024-10-13 13:16:41"
"DeHub USD","0.000666","-0.000060","-8.24%","2.713M","2,129","4.076B","2024-10-13 13:16:41"
"Baby Trump (BSC) USD","0.006262","-0.000498","-7.37%","2.717M","23,337","433.917M","2024-10-13 13:16:41"
"BitForex Token USD","0.000627","-0.000004","-0.56%","2.69M","13","4.289B","2024-10-13 13:16:41"
"WeSendit USD","0.006454","+0.000069","+1.07%","2.689M","78,498","416.547M","2024-10-13 13:16:41"
"YOM USD","0.025644","-0.000675","-2.57%","2.664M","10,326","103.899M","2024-10-13 13:16:41"
"HAMI USD","0.002765","-0.000422","-13.23%","2.66M","106,161","962.236M","2024-10-13 13:16:41"
"dAppstore USD","0.004569","-0.000005","-0.10%","2.66M","243,590","582.204M","2024-10-13 13:16:41"
"Kunci Coin USD","0.002157","-0.000024","-1.10%","2.659M","27,097","1.233B","2024-10-13 13:16:41"
"Edge Matrix Computing USD","0.088531","+0.002774","+3.23%","2.657M","116,203","30.007M","2024-10-13 13:16:41"
"Cosplay Token USD","0.006631","-0.000427","-6.04%","2.615M","89,022","394.359M","2024-10-13 13:16:41"
"Linker Coin USD","0.023189","-0.000141","-0.60%","2.615M","0","112.776M","2024-10-13 13:16:41"
"GemHUB USD","0.035445","-0.000125","-0.35%","2.614M","148,547","73.738M","2024-10-13 13:16:42"
"Staked NEAR USD","6.2983","-0.1111","-1.73%","2.611M","1,030","414,508","2024-10-13 13:16:42"
"Etherisc DIP Token USD","0.010844","+0.000422","+4.04%","2.6M","65","239.742M","2024-10-13 13:16:42"
"Eesee USD","0.014250","-0.000708","-4.74%","2.594M","398,860","182.041M","2024-10-13 13:16:42"
"Cheems USD","0.001015","+0.000112","+12.35%","2.588M","88,868","2.551B","2024-10-13 13:16:42"
"Signum USD","0.001211","+0.000003","+0.22%","2.58M","26,591","2.13B","2024-10-13 13:16:42"
"ILCOIN USD","0.002507","+0.000297","+13.46%","2.577M","3,088","1.028B","2024-10-13 13:16:42"
"Mettalex USD","2.2857","-0.1920","-7.75%","2.567M","48,375","1.123M","2024-10-13 13:16:42"
"Ignis USD","0.003368","-0.000001","-0.02%","2.564M","50","761.144M","2024-10-13 13:16:42"
"Wrapped Moonbeam USD","0.1647","-0.0024","-1.43%","2.553M","208,677","15.501M","2024-10-13 13:16:42"
"Mint Club USD","0.00000244","-0.00000003","-1.05%","2.538M","2,055","1.041T","2024-10-13 13:16:42"
"milestoneBased USD","0.044771","-0.000005","-0.01%","2.532M","5","56.556M","2024-10-13 13:16:42"
"Litecoin Cash USD","0.003136","-0.000019","-0.59%","2.526M","6","805.571M","2024-10-13 13:16:42"
"Alfa Romeo Racing ORLEN Fan Token USD","0.461235","-0.001314","-0.28%","2.526M","48,552","5.476M","2024-10-13 13:16:42"
"Feathercoin USD","0.010661","-0.000065","-0.60%","2.522M","5,364","236.6M","2024-10-13 13:16:42"
"Baby USD","0.00000253","+0.00000126","+99.68%","2.486M","561,038","981.563B","2024-10-13 13:16:42"
"Morra USD","0.006624","-0.000048","-0.72%","2.508M","15,634","378.687M","2024-10-13 13:16:42"
"TOWER USD","0.001432","+0.000044","+3.16%","2.489M","23,259","1.739B","2024-10-13 13:16:42"
"Chirpley USD","0.006074","-0.000139","-2.24%","2.509M","352,461","413.03M","2024-10-13 13:16:42"
"dlcBTC USD","62,598.09","+134.03","+0.21%","2.495M","25,548","39","2024-10-13 13:16:42"
"MultiVAC USD","0.000694","+0.000061","+9.56%","2.489M","126,435","3.587B","2024-10-13 13:16:42"
"VestChain USD","0.000627","-0.000004","-0.56%","2.475M","10","3.946B","2024-10-13 13:16:42"
"MILLI USD","0.00000927","+0.00000235","+33.86%","2.439M","176,404","263B","2024-10-13 13:16:42"
"MongolNFT Coin USD","0.000012","+0.000000","+2.04%","2.465M","10","204.741B","2024-10-13 13:16:42"
"Bitcoin Bam USD","0.239869","-0.000151","-0.06%","2.465M","298,353","10.277M","2024-10-13 13:16:42"
"Public Masterpiece Token USD","0.056643","+0.000121","+0.21%","2.462M","183,590","43.466M","2024-10-13 13:16:42"
"Sinverse USD","0.003590","+0.000113","+3.26%","2.459M","47,677","684.944M","2024-10-13 13:16:42"
"Morpheus Infrastructure Node USD","0.001797","+0.000061","+3.52%","2.456M","62,949","1.366B","2024-10-13 13:16:42"
"ForTube USD","0.003088","+0.000030","+0.98%","2.455M","3.4M","795M","2024-10-13 13:16:42"
"BaaSid USD","0.000331","+0.000010","+3.03%","2.452M","11,054","7.4B","2024-10-13 13:16:42"
"Baby Neiro Token USD","0.00000582","-0.00000014","-2.34%","2.448M","277,071","420.69B","2024-10-13 13:16:43"
"NvirWorld USD","0.002299","+0.000100","+4.55%","2.42M","14,076","1.053B","2024-10-13 13:16:43"
"Levana Protocol USD","0.024128","-0.000065","-0.27%","2.423M","921,055","100.418M","2024-10-13 13:16:43"
"Shiba Predator USD","0.00000000","-0.00000000","-0.03%","2.402M","7,121","599.886T","2024-10-13 13:16:43"
"Grin USD","0.024414","+0.002593","+11.88%","2.398M","76,402","98.213M","2024-10-13 13:16:43"
"LandX Finance USD","0.274915","+0.002664","+0.98%","2.393M","459,871","8.706M","2024-10-13 13:16:43"
"Moby USD","0.000236","+0.000019","+8.71%","2.36M","76,036","10B","2024-10-13 13:16:43"
"WELL3 USD","0.000573","-0.000021","-3.59%","2.359M","4.468M","4.116B","2024-10-13 13:16:43"
"Retreeb USD","0.004307","-0.000311","-6.73%","2.356M","3,154","546.916M","2024-10-13 13:16:43"
"Gains USD","0.060072","+0.000898","+1.52%","2.324M","2,327","38.694M","2024-10-13 13:16:43"
"KLEVA Protocol USD","0.047210","-0.003796","-7.44%","2.287M","16,593","48.435M","2024-10-13 13:16:43"
"Particl USD","0.158436","+0.001901","+1.21%","2.276M","3,604","14.365M","2024-10-13 13:16:43"
"Wrapped Bitcoin Cash USD","312.54","0.00","0.00%","2.272M","136","7,269","2024-10-13 13:16:43"
"PolkaBridge USD","0.030166","+0.000439","+1.48%","2.264M","109,724","75.036M","2024-10-13 13:16:43"
"HAVAH USD","0.004970","-0.000035","-0.70%","2.266M","93,749","455.936M","2024-10-13 13:16:43"
"Minter Network USD","0.000276","+0.000005","+1.79%","2.26M","30","8.204B","2024-10-13 13:16:43"
"Idle USD","0.253766","+0.002765","+1.10%","2.26M","278","8.905M","2024-10-13 13:16:43"
"Penpie USD","1.4995","+0.1263","+9.20%","2.258M","49,165","1.506M","2024-10-13 13:16:43"
"Umbrella Network USD","0.007678","-0.000047","-0.61%","2.249M","178,862","292.963M","2024-10-13 13:16:43"
"HUND USD","0.005856","-0.000111","-1.87%","2.251M","166,637","384.427M","2024-10-13 13:16:43"
"Veritise USD","0.010001","-0.001602","-13.80%","2.241M","1,944","224.055M","2024-10-13 13:16:43"
"SAFE DEAL USD","0.080412","-0.004110","-4.86%","2.242M","5","27.884M","2024-10-13 13:16:43"
"Bubble USD","0.002683","-0.000011","-0.42%","2.23M","2.889M","831.336M","2024-10-13 13:16:43"
"Dypius [New] USD","0.022200","+0.000718","+3.34%","2.215M","162,369","99.78M","2024-10-13 13:16:43"
"Plugin Decentralized Oracle USD","0.014670","+0.000125","+0.86%","2.221M","273,688","151.366M","2024-10-13 13:16:43"
"LUCA USD","0.610736","-0.008648","-1.40%","2.206M","18,985","3.612M","2024-10-13 13:16:43"
"Doug The Duck USD","0.002198","-0.000141","-6.05%","2.198M","184,884","999.961M","2024-10-13 13:16:43"
"Venus SXP USD","0.005541","-0.000228","-3.95%","2.198M","4.155M","396.675M","2024-10-13 13:16:43"
"Ankr Staked BNB USD","623.94","-3.56","-0.57%","2.18M","18,665","3,493","2024-10-13 13:16:43"
"PointPay USD","0.072503","+0.000689","+0.96%","2.175M","189,521","30M","2024-10-13 13:16:43"
"SENSO USD","0.030889","-0.000151","-0.49%","2.171M","76,938","70.269M","2024-10-13 13:16:44"
"Unification USD","0.062449","-0.004582","-6.84%","2.151M","2,909","34.447M","2024-10-13 13:16:44"
"RFOX USD","0.001636","-0.000061","-3.60%","2.146M","1,492","1.312B","2024-10-13 13:16:44"
"Hosky Token USD","0.00000001","-0.00000000","-26.31%","2.129M","34,078","228T","2024-10-13 13:16:44"
"Sylo USD","0.000878","-0.000009","-0.96%","2.136M","1.169M","2.432B","2024-10-13 13:16:44"
"TypeAI USD","0.224676","+0.004277","+1.94%","2.134M","14,068","9.5M","2024-10-13 13:16:44"
"Vesper USD","0.229506","-0.009031","-3.79%","2.127M","81","9.266M","2024-10-13 13:16:44"
"Ormeus Ecosystem USD","0.000929","+0.000030","+3.31%","2.071M","6,354","2.23B","2024-10-13 13:16:44"
"Meta Apes USD","0.013734","-0.000283","-2.02%","2.107M","1,635","153.411M","2024-10-13 13:16:44"
"Forj(Bondly) USD","0.002140","-0.000047","-2.13%","2.105M","338,918","983.621M","2024-10-13 13:16:44"
"Rubic USD","0.012653","-0.000606","-4.57%","2.091M","122,360","165.284M","2024-10-13 13:16:44"
"ARTFI USD","0.016050","+0.000544","+3.51%","2.092M","49,569","130.368M","2024-10-13 13:16:44"
"JMPT Rewards USD","1.0989","-0.0115","-1.04%","2.081M","4,223","1.894M","2024-10-13 13:16:44"
"Multichain USD","0.143043","-0.020033","-12.28%","2.08M","17,177","14.541M","2024-10-13 13:16:44"
"Lattice Token USD","0.072228","-0.000382","-0.53%","2.07M","73","28.654M","2024-10-13 13:16:44"
"WeWay USD","0.001432","-0.000003","-0.22%","2.063M","6,211","1.44B","2024-10-13 13:16:44"
"Ertha USD","0.001126","+0.000183","+19.35%","1.998M","404,615","1.774B","2024-10-13 13:16:44"
"Atsuko Sato USD","0.002106","-0.000173","-7.60%","2.038M","948,098","967.837M","2024-10-13 13:16:44"
"TORSY USD","0.002929","+0.000592","+25.35%","2.05M","96,091","700M","2024-10-13 13:16:44"
"Wrapped Zeta USD","0.597801","+0.014793","+2.54%","2.029M","6,281","3.393M","2024-10-13 13:16:44"
"Rari Governance Token USD","0.161547","+0.003084","+1.95%","2.015M","75","12.472M","2024-10-13 13:16:44"
"Everyworld USD","0.002102","-0.000026","-1.22%","2.011M","10,190","957.032M","2024-10-13 13:16:44"
"Povel Durev USD","0.021109","-0.000460","-2.13%","2.005M","74,599","95M","2024-10-13 13:16:44"
